Tracer: (5) 18F-			Batch no: 933			Date: 2021-10-28
Site name: Fleni

Time	Arc-I	Arc-V	Gas flow	Dee-1-kV	Dee-2-kV	Magnet-I	Foil-I	Coll-l-I	Target-I	Coll-r-I	Vacuum-P	Target-P	Delta Dee-kV	Phase load	Dee ref-V	Probe-I	He cool-P	Flap1-pos	Flap2-pos	Step pos	Extr pos	Balance	RF fwd-W	RF refl-W	Foil No
08:13:10 	0	0	-0.0	0.0	0.0	429.0	0.0	0.0	0.0	0.0	3.6E-07	71.2	0.0	12.2	35.5	0.0	38.0	40.2	30.1	0.0	20.1	50.3	0.0	0.0	2
08:13:13 	0	0	-0.0	0.0	0.0	429.0	0.0	0.0	0.0	0.0	3.6E-07	71.7	0.0	12.1	35.5	0.0	38.0	40.2	30.1	0.0	20.1	50.3	0.0	0.0	2
08:13:16 	0	0	-0.0	0.0	0.0	429.0	0.0	0.0	0.0	0.0	3.5E-07	71.7	0.0	12.0	35.5	0.0	38.0	40.3	30.1	0.0	20.1	50.2	0.0	0.0	2
08:13:19 	0	0	-0.0	0.0	0.0	429.0	0.0	0.0	0.0	0.0	3.5E-07	71.7	0.0	12.2	35.5	0.0	38.0	40.3	30.1	0.0	20.1	50.3	0.0	0.0	2
08:13:23 	0	0	-0.0	0.0	0.0	429.0	0.0	0.0	0.0	0.0	3.5E-07	71.7	0.0	12.2	35.5	0.0	38.0	40.3	30.1	0.0	20.1	50.3	0.0	0.0	2
08:13:26 	0	0	-0.0	0.0	0.0	429.0	0.0	0.0	0.0	0.0	3.5E-07	71.7	0.0	12.1	35.5	0.0	38.0	40.3	30.1	0.0	20.2	50.3	0.0	0.0	2
08:13:29 	0	0	-0.0	0.0	0.0	429.0	0.0	0.0	0.0	0.0	3.5E-07	71.7	0.0	12.2	35.5	0.0	38.0	40.2	30.1	0.0	20.1	50.3	0.0	0.0	2
08:13:32 	0	0	-0.0	0.0	0.0	429.0	0.0	0.0	0.0	0.0	3.5E-07	71.7	0.0	12.1	35.5	0.0	38.0	40.3	30.1	0.0	20.2	50.3	0.0	0.0	2
08:13:35 	0	0	-0.0	0.0	0.0	429.0	0.0	0.0	0.0	0.0	3.5E-07	71.7	0.0	12.1	35.5	0.0	38.0	40.3	30.1	0.0	20.1	50.3	0.0	0.0	2
08:13:38 	0	0	-0.0	0.0	0.0	429.0	0.0	0.0	0.0	0.0	3.5E-07	71.7	0.0	12.2	35.5	0.0	38.0	40.3	30.1	0.0	20.1	50.3	0.0	0.0	2
