Tracer: (3) 18F-			Batch no: 8683			Date: 2020-07-29
Site name: Fleni

Time	Arc-I	Arc-V	Gas flow	Dee-1-kV	Dee-2-kV	Magnet-I	Foil-I	Coll-l-I	Target-I	Coll-r-I	Vacuum-P	Target-P	Delta Dee-kV	Phase load	Dee ref-V	Probe-I	He cool-P	Flap1-pos	Flap2-pos	Step pos	Extr pos	Balance	RF fwd-W	RF refl-W	Foil No
13:22:11 	0	0	-0.0	0.0	0.0	429.3	0.0	0.0	0.0	0.0	1.1E-06	314.4	0.0	12.2	35.6	0.0	48.0	40.1	29.5	0.0	81.5	50.1	0.0	0.0	2
13:22:14 	0	0	-0.0	0.0	0.0	429.3	0.0	0.0	0.0	0.0	1.6E-06	314.4	0.0	12.3	35.6	0.0	54.0	39.9	29.5	0.0	81.4	50.1	0.0	0.0	2
13:22:18 	0	0	-0.0	0.0	0.0	429.3	0.0	0.0	0.0	0.0	1.3E-06	314.4	0.0	12.2	35.6	0.0	48.5	39.9	29.5	0.0	81.5	50.1	0.0	0.0	2
13:22:21 	0	0	-0.0	0.0	0.0	429.3	0.0	0.0	0.0	0.0	1.2E-06	314.4	0.0	12.2	35.6	0.0	49.3	40.1	29.5	0.0	81.5	50.1	0.0	0.0	2
13:22:24 	0	0	-0.0	0.0	0.0	429.3	0.0	0.0	0.0	0.0	1.2E-06	314.4	0.0	12.3	35.6	0.0	51.5	40.1	29.5	0.0	81.5	50.1	0.0	0.0	2
13:22:27 	0	0	-0.0	0.0	0.0	429.3	0.0	0.0	0.0	0.0	1.1E-06	314.9	0.0	12.3	35.6	0.0	50.7	39.9	29.5	0.0	81.4	50.1	0.0	0.0	2
13:22:30 	0	0	-0.0	0.0	0.0	429.3	0.0	0.0	0.0	0.0	1.1E-06	314.9	0.0	12.2	35.6	0.0	50.0	39.9	29.5	0.0	81.5	50.1	0.0	0.0	2
13:22:33 	0	0	-0.0	0.0	0.0	429.3	0.0	0.0	0.0	0.0	1.1E-06	314.9	0.0	12.2	35.6	0.0	50.2	39.9	29.5	0.0	81.5	50.1	0.0	0.0	2
13:22:36 	0	0	-0.0	0.0	0.0	429.3	0.0	0.0	0.0	0.0	1.1E-06	314.4	0.0	12.2	35.6	0.0	51.5	39.9	29.5	0.0	79.5	50.1	0.0	0.0	2
13:22:39 	0	0	6.7	0.0	0.0	429.3	0.0	0.0	0.0	0.0	1.1E-06	314.4	0.0	12.3	35.6	0.0	53.0	40.1	29.5	0.0	76.9	50.1	0.0	0.0	2
13:22:42 	0	0	0.3	0.0	0.0	429.3	0.0	0.0	0.0	0.0	2.2E-06	314.9	0.0	33.3	35.6	0.0	47.0	48.6	39.2	0.0	76.9	50.1	1.4	1.4	2
13:22:45 	0	0	0.2	0.9	1.2	429.3	0.0	0.0	0.0	0.0	4.5E-06	314.9	0.3	33.5	35.6	0.0	50.0	43.8	33.0	0.0	76.9	50.1	1.4	1.4	2
13:22:48 	0	0	4.2	35.8	42.2	429.3	0.0	0.0	0.0	0.0	8.6E-06	314.9	6.4	6.4	35.6	0.0	52.0	36.1	28.8	0.0	76.9	50.1	11.9	0.1	2
13:22:51 	0	0	4.4	35.7	39.8	429.3	0.0	0.0	0.0	0.0	1.4E-05	314.9	4.1	6.2	35.6	0.0	47.0	33.4	31.4	0.0	76.9	50.1	10.9	0.0	2
13:22:55 	48	1129	4.4	35.5	38.9	429.3	0.0	0.0	0.0	0.0	9.9E-06	314.9	3.4	3.4	35.6	2.0	50.2	33.5	31.6	0.0	76.9	50.1	10.8	0.0	2
13:22:58 	111	1231	4.4	35.6	39.5	429.3	0.0	0.0	0.0	0.0	1.6E-05	314.9	3.8	8.6	35.6	13.6	48.2	34.3	32.2	0.0	76.9	50.1	10.5	0.1	2
13:23:01 	116	1032	4.4	35.4	38.7	429.3	0.0	0.0	0.0	0.0	1.5E-05	314.9	3.3	2.5	35.6	14.2	47.7	34.6	31.7	0.0	76.9	50.0	10.8	0.0	2
13:23:04 	119	906	4.5	35.5	38.8	429.3	0.0	0.0	0.0	0.0	1.5E-05	314.4	3.3	5.9	35.6	14.7	48.2	33.1	32.6	0.0	76.9	50.1	10.6	0.0	2
13:23:07 	119	897	4.5	35.7	39.3	429.3	0.0	0.0	0.0	0.0	1.5E-05	314.4	3.6	3.6	35.6	15.0	47.7	35.6	31.8	0.0	76.9	50.1	10.9	0.0	2
13:23:10 	119	890	4.5	35.5	38.9	429.3	11.4	10.5	0.8	0.0	1.5E-05	314.9	3.4	3.0	35.6	0.0	47.8	35.5	31.8	0.0	78.1	50.1	11.0	0.0	2
13:23:13 	118	886	4.5	35.7	39.1	429.3	11.4	1.0	9.5	0.7	1.5E-05	317.8	3.4	7.0	35.6	0.0	47.0	35.6	32.0	0.0	81.4	50.0	10.7	0.1	2
13:23:16 	119	881	4.5	35.5	39.0	426.5	0.0	0.0	0.0	0.0	1.4E-05	314.4	3.6	3.0	35.6	0.0	47.2	34.3	31.8	0.0	81.4	50.1	10.8	0.0	2
13:23:20 	119	878	4.5	35.5	39.1	427.5	3.8	0.3	3.1	0.4	1.4E-05	314.4	3.5	4.4	35.6	0.0	45.5	35.0	32.4	0.0	81.4	50.1	10.8	0.0	2
13:23:23 	119	878	4.5	35.6	39.0	427.0	11.2	0.5	9.2	1.1	1.4E-05	316.4	3.4	4.1	35.6	0.0	48.7	35.7	31.6	0.0	81.5	50.1	10.9	0.0	2
13:23:26 	119	878	4.5	35.6	39.1	427.5	1.4	0.1	1.2	0.2	1.4E-05	314.4	3.5	5.3	35.6	0.0	45.7	35.5	32.2	0.0	81.4	50.1	10.6	0.0	2
13:23:29 	119	878	4.5	35.5	39.0	428.0	7.0	0.5	5.8	0.6	1.4E-05	314.4	3.5	4.6	35.6	0.0	49.0	34.6	31.8	0.0	81.5	50.1	10.8	0.0	2
13:23:32 	119	878	4.5	35.5	39.1	428.5	11.8	0.5	9.6	1.3	1.4E-05	315.9	3.6	3.3	35.6	0.0	50.1	34.6	31.7	0.0	81.4	50.1	11.1	0.0	2
13:23:35 	119	878	4.5	35.5	38.9	429.0	12.2	1.2	10.7	0.4	1.4E-05	316.4	3.4	2.9	35.6	0.0	51.0	35.0	31.8	0.0	81.4	50.1	11.0	0.0	2
13:23:38 	119	878	4.5	35.5	39.1	429.5	12.5	1.0	10.3	0.9	1.4E-05	316.8	3.6	4.0	35.6	0.0	49.0	36.0	32.4	0.0	81.4	50.1	11.0	0.0	2
13:23:41 	119	878	4.5	35.5	38.9	430.0	12.7	1.0	10.1	1.1	1.4E-05	316.4	3.5	3.4	35.6	0.0	50.5	36.1	32.4	0.0	81.4	50.1	11.0	0.0	2
13:23:44 	119	878	4.5	35.6	39.1	430.5	11.5	0.5	9.7	1.1	1.4E-05	316.4	3.5	4.2	35.6	0.0	46.2	36.3	32.4	0.0	81.4	50.1	10.9	0.0	2
13:23:47 	119	880	4.5	35.5	38.9	431.0	5.5	0.2	4.7	0.4	1.4E-05	315.4	3.5	3.6	35.6	0.0	48.3	36.1	32.4	0.0	81.4	50.1	10.9	0.0	2
13:23:51 	119	880	4.5	35.5	39.1	431.5	0.2	0.0	0.1	0.1	1.4E-05	313.9	3.5	2.9	35.6	0.0	52.0	36.1	32.5	0.0	81.4	50.1	10.9	0.0	2
13:23:54 	116	887	4.5	35.6	39.1	429.3	12.3	0.9	10.1	1.0	1.4E-05	316.8	3.5	4.9	35.6	0.0	45.0	36.0	32.5	0.0	81.4	50.1	10.9	0.0	2
13:23:57 	115	895	4.5	35.6	39.1	429.3	12.3	1.1	10.0	0.8	1.4E-05	316.8	3.5	4.7	35.6	0.0	47.0	36.3	32.5	0.0	81.5	50.1	10.9	0.0	2
13:24:00 	114	900	4.5	35.6	39.1	429.3	12.2	1.1	10.2	0.8	1.4E-05	316.8	3.5	4.9	35.6	0.0	49.5	36.3	32.4	0.0	81.4	50.0	10.9	0.0	2
